Time (s),Ay (m/s²),Fᵧ (N)
0.004999999888241291,-9.21519660949707,-3.119921922683716
0.009999999776482582,-9.050603866577148,-3.0937981605529785
0.014999999664723873,-8.826201438903809,-3.0607943534851074
0.019999999552965164,-8.633525848388672,-3.034323215484619
0.02500000037252903,-8.509772300720215,-3.015758752822876
0.029999999329447746,-8.383012771606445,-2.996507167816162
0.03500000014901161,-8.240850448608398,-2.9714107513427734
0.03999999910593033,-8.099617004394531,-2.941845178604126
0.04500000178813934,-7.919318199157715,-2.91021728515625
0.05000000074505806,-7.714670181274414,-2.878589153289795
0.054999999701976776,-7.492071628570557,-2.841116428375244
0.05999999865889549,-7.204092979431152,-2.7922990322113037
0.06499999761581421,-6.905338764190674,-2.7403876781463623
0.07000000029802322,-6.633885860443115,-2.697758436203003
0.07500000298023224,-6.385488986968994,-2.652378797531128
0.07999999821186066,-6.16534423828125,-2.6118123531341553
0.08500000089406967,-5.86745023727417,-2.564713954925537
0.09000000357627869,-5.552532196044922,-2.5066144466400146
0.0949999988079071,-5.44660758972168,-2.476017713546753
0.10000000149011612,-5.349493026733398,-2.4619224071502686
0.10499999672174454,-4.850358486175537,-2.3986659049987793
0.10999999940395355,-4.253940105438232,-2.2824668884277344
0.11500000208616257,-4.211394786834717,-2.2363998889923096
0.11999999731779099,-4.655980587005615,-2.300687313079834
0.125,-4.996401786804199,-2.373913526535034
0.12999999523162842,-5.260601043701172,-2.4247937202453613
0.13500000536441803,-5.513450622558594,-2.472923517227173
0.14000000059604645,-5.734968185424805,-2.5134899616241455
0.14499999582767487,-5.961077690124512,-2.549243688583374
0.15000000596046448,-6.229387283325195,-2.5918729305267334
0.1550000011920929,-6.466546058654785,-2.6334707736968994
0.1599999964237213,-6.712117671966553,-2.677819013595581
0.16500000655651093,-7.0027079582214355,-2.723886251449585
0.17000000178813934,-7.309805393218994,-2.7720160484313965
0.17499999701976776,-7.599973201751709,-2.8191144466400146
0.18000000715255737,-7.8490447998046875,-2.865525007247925
0.1850000023841858,-8.040842056274414,-2.8992159366607666
0.1899999976158142,-8.16926097869873,-2.9212183952331543
0.19499999284744263,-8.309114456176758,-2.945626974105835
0.20000000298023224,-8.472647666931152,-2.9755358695983887
0.20499999821186066,-8.665074348449707,-3.0068204402923584
0.20999999344348907,-8.874110221862793,-3.0360424518585205
0.2150000035762787,-9.058056831359863,-3.06113862991333
0.2199999988079071,-9.233416557312012,-3.0852034091949463
0.22499999403953552,-9.423295021057129,-3.1154565811157227
0.23000000417232513,-9.638248443603516,-3.1529288291931152
0.23499999940395355,-9.910892486572266,-3.197277069091797
0.23999999463558197,-10.165238380432129,-3.2378437519073486
0.24500000476837158,-10.385030746459961,-3.2770349979400635
0.25,-10.625033378601074,-3.3148515224456787
0.2549999952316284,-10.889622688293457,-3.35679292678833
0.25999999046325684,-11.152862548828125,-3.3970158100128174
0.26499998569488525,-11.376728057861328,-3.438270092010498
0.27000001072883606,-11.544063568115234,-3.4747109413146973
0.2750000059604645,-11.696540832519531,-3.5056517124176025
0.2800000011920929,-11.838702201843262,-3.532122850418091
0.2849999964237213,-11.917133331298828,-3.552062511444092
0.28999999165534973,-11.97651195526123,-3.5689079761505127
0.29499998688697815,-12.030577659606934,-3.583690643310547
0.30000001192092896,-12.112279891967773,-3.59916090965271
0.3050000071525574,-12.219590187072754,-3.6194441318511963
0.3100000023841858,-12.30435562133789,-3.635946035385132
0.3149999976158142,-12.349276542663574,-3.6459157466888428
0.3199999928474426,-12.408666610717773,-3.65554141998291
0.32499998807907104,-12.488572120666504,-3.669293165206909
0.33000001311302185,-12.57892894744873,-3.6864821910858154
0.33500000834465027,-12.689780235290527,-3.7057340145111084
0.3400000035762787,-12.81799030303955,-3.723954677581787
0.3449999988079071,-12.930042266845703,-3.7404563426971436
0.3499999940395355,-13.02296257019043,-3.758676767349243
0.35499998927116394,-13.107866287231445,-3.7741470336914062
0.36000001430511475,-13.17429256439209,-3.785491943359375
0.36500000953674316,-13.240263938903809,-3.797868490219116
0.3700000047683716,-13.280949592590332,-3.8074944019317627
0.375,-13.3032808303833,-3.810932159423828
0.3799999952316284,-13.260974884033203,-3.8019940853118896
0.38499999046325684,-13.188517570495605,-3.787210702896118
0.38999998569488525,-13.114608764648438,-3.7696778774261475
0.39500001072883606,-13.017448425292969,-3.755582809448242
0.4000000059604645,-12.930351257324219,-3.738737106323242
0.4050000011920929,-12.858636856079102,-3.7249863147735596
0.4099999964237213,-12.75462818145752,-3.712266206741333
0.41499999165534973,-12.597739219665527,-3.6950764656066895
0.41999998688697815,-12.455790519714355,-3.6727309226989746
0.42500001192092896,-12.326207160949707,-3.6493537425994873
0.4300000071525574,-12.240676879882812,-3.6325082778930664
0.4350000023841858,-12.177240371704102,-3.6225383281707764
0.4399999976158142,-12.095440864562988,-3.608443021774292
0.4449999928474426,-11.989677429199219,-3.587472438812256
0.44999998807907104,-11.893163681030273,-3.566157341003418
0.45500001311302185,-11.79572868347168,-3.5496561527252197
0.46000000834465027,-11.674783706665039,-3.533154249191284
0.4650000035762787,-11.52341079711914,-3.5101206302642822
0.4699999988079071,-11.358841896057129,-3.483649492263794
0.4749999940395355,-11.178807258605957,-3.4533963203430176
0.47999998927116394,-10.952476501464844,-3.4155800342559814
0.48500001430511475,-10.716729164123535,-3.37432599067688
0.49000000953674316,-10.478734016418457,-3.3334157466888428
0.4950000047683716,-10.260812759399414,-3.2938802242279053
0.5,-10.051410675048828,-3.2540013790130615
0.5049999952316284,-9.868155479431152,-3.221341848373413
0.5099999904632568,-9.676175117492676,-3.185244560241699
0.5149999856948853,-9.467707633972168,-3.14570951461792
0.5199999809265137,-9.24717903137207,-3.1068618297576904
0.5249999761581421,-9.020145416259766,-3.071108341217041
0.5299999713897705,-8.828880310058594,-3.0436055660247803
0.5350000262260437,-8.687091827392578,-3.025040864944458
0.5400000214576721,-8.538358688354492,-3.0006322860717773
0.5450000166893005,-8.360042572021484,-2.9700355529785156
0.550000011920929,-8.19326400756836,-2.938750982284546
0.5550000071525574,-8.052606582641602,-2.9091856479644775
0.5600000023841858,-7.8837995529174805,-2.883401870727539
0.5649999976158142,-7.636476993560791,-2.8500547409057617
0.5699999928474426,-7.330153942108154,-2.8053627014160156
0.574999988079071,-7.033886432647705,-2.7565455436706543
0.5799999833106995,-6.741636753082275,-2.7091031074523926
0.5849999785423279,-6.463017463684082,-2.660973310470581
0.5899999737739563,-6.249095439910889,-2.623844623565674
0.5950000286102295,-5.947578430175781,-2.579152822494507
0.6000000238418579,-5.572941303253174,-2.51073956489563
0.6050000190734863,-5.406014442443848,-2.4694855213165283
0.6100000143051147,-5.24255895614624,-2.445420503616333
0.6150000095367432,-4.854128360748291,-2.3904149532318115
0.6200000047683716,-4.431639671325684,-2.308250665664673
0.625,-4.363619804382324,-2.2769663333892822
0.6299999952316284,-4.6361517906188965,-2.310657262802124
0.6349999904632568,-4.9875807762146,-2.3763198852539062
0.6399999856948853,-5.277886867523193,-2.43304443359375
0.6449999809265137,-5.51398229598999,-2.4767050743103027
0.6499999761581421,-5.789499282836914,-2.5189905166625977
0.6549999713897705,-6.009790420532227,-2.556119203567505
0.6600000262260437,-6.222347736358643,-2.590153932571411
0.6650000214576721,-6.4969072341918945,-2.641721487045288
0.6700000166893005,-6.730520725250244,-2.6867573261260986
0.675000011920929,-6.966708660125732,-2.7273240089416504
0.6800000071525574,-7.23169469833374,-2.7689216136932373
0.6850000023841858,-7.492053985595703,-2.8098320960998535
0.6899999976158142,-7.7249016761779785,-2.8521175384521484
0.6949999928474426,-7.912253379821777,-2.8899335861206055
0.699999988079071,-8.075712203979492,-2.9198431968688965
0.7049999833106995,-8.234423637390137,-2.9466583728790283
0.7099999785423279,-8.367094039916992,-2.972785711288452
0.7149999737739563,-8.489395141601562,-2.9975383281707764
0.7200000286102295,-8.669108390808105,-3.0240094661712646
0.7250000238418579,-8.90357494354248,-3.054262638092041
0.7300000190734863,-9.11892318725586,-3.084172010421753
0.7350000143051147,-9.305221557617188,-3.11442494392395
0.7400000095367432,-9.501518249511719,-3.145021677017212
0.7450000047683716,-9.768560409545898,-3.1886823177337646
0.75,-10.04641056060791,-3.234405517578125
0.7549999952316284,-10.276322364807129,-3.272909641265869
0.7599999904632568,-10.515323638916016,-3.307631731033325
0.7649999856948853,-10.794780731201172,-3.347510814666748
0.7699999809265137,-11.057564735412598,-3.386702299118042
0.7749999761581421,-11.264326095581055,-3.425893783569336
0.7799999713897705,-11.449444770812988,-3.4592409133911133
0.7850000262260437,-11.641755104064941,-3.490525007247925
0.7900000214576721,-11.824009895324707,-3.524559736251831
0.7950000166893005,-11.929393768310547,-3.549999713897705
0.800000011920929,-11.993426322937012,-3.5695953369140625
0.8050000071525574,-12.040769577026367,-3.5840344429016113
0.8100000023841858,-12.08332347869873,-3.596066951751709
0.8149999976158142,-12.170563697814941,-3.612224817276001
0.8199999928474426,-12.263932228088379,-3.6301016807556152
0.824999988079071,-12.353915214538574,-3.6459155082702637
0.8299999833106995,-12.445981979370117,-3.658291816711426
0.8349999785423279,-12.52110767364502,-3.67307448387146
0.8399999737739563,-12.618237495422363,-3.689232110977173
0.8450000286102295,-12.758919715881348,-3.7088282108306885
0.8500000238418579,-12.9014892578125,-3.7311739921569824
0.8550000190734863,-13.01523494720459,-3.7497384548187256
0.8600000143051147,-13.091808319091797,-3.764864921569824
0.8650000095367432,-13.15986156463623,-3.7775847911834717
0.8700000047683716,-13.233853340148926,-3.7882425785064697
0.875,-13.315025329589844,-3.8002748489379883
0.8799999952316284,-13.357475280761719,-3.806119203567505
0.8849999904632568,-13.362016677856445,-3.806119203567505
0.8899999856948853,-13.332453727722168,-3.800962448120117
0.8949999809265137,-13.285658836364746,-3.7937428951263428
0.8999999761581421,-13.22232723236084,-3.7858359813690186
0.9049999713897705,-13.121705055236816,-3.7727720737457275
0.9100000262260437,-13.008419036865234,-3.75076961517334
0.9150000214576721,-12.907651901245117,-3.7304863929748535
0.9200000166893005,-12.796354293823242,-3.714672565460205
0.925000011920929,-12.661919593811035,-3.6981706619262695
0.9300000071525574,-12.529678344726562,-3.6789190769195557
0.9350000023841858,-12.39586067199707,-3.6565730571746826
0.9399999976158142,-12.274637222290039,-3.637664794921875
0.9449999928474426,-12.189762115478516,-3.6249449253082275
0.949999988079071,-12.093920707702637,-3.611537218093872
0.9549999833106995,-12.002915382385254,-3.596066951751709
0.9599999785423279,-11.911094665527344,-3.578533887863159
0.9649999737739563,-11.78935718536377,-3.5596256256103516
0.9700000286102295,-11.62826156616211,-3.534529447555542
0.9750000238418579,-11.456271171569824,-3.506682872772217
0.9800000190734863,-11.295601844787598,-3.4802114963531494
0.9850000143051147,-11.122947692871094,-3.453052520751953
0.9900000095367432,-10.909790992736816,-3.419018030166626
0.9950000047683716,-10.66281509399414,-3.3781075477600098
1,-10.421887397766113,-3.3378849029541016
1.0049999952316284,-10.19662094116211,-3.3000683784484863
1.0099999904632568,-9.965234756469727,-3.257439136505127
1.0149999856948853,-9.750633239746094,-3.2172164916992188
1.0199999809265137,-9.562158584594727,-3.1807754039764404
1.024999976158142,-9.394691467285156,-3.1470847129821777
1.0299999713897705,-9.203546524047852,-3.112705945968628
1.034999966621399,-8.952742576599121,-3.075921058654785
1.0399999618530273,-8.745429039001465,-3.044980525970459
1.0449999570846558,-8.623372077941895,-3.0260722637176514
1.0499999523162842,-8.491097450256348,-3.0037264823913574
1.0549999475479126,-8.33870792388916,-2.9731292724609375
1.059999942779541,-8.151223182678223,-2.9384074211120605
1.065000057220459,-7.980372428894043,-2.9091856479644775
1.0700000524520874,-7.839309215545654,-2.884089708328247
1.0750000476837158,-7.636054992675781,-2.851086139678955
1.0800000429153442,-7.386629104614258,-2.8091444969177246
1.0850000381469727,-7.110629081726074,-2.7668588161468506
1.090000033378601,-6.842226505279541,-2.7238857746124268
1.0950000286102295,-6.5354838371276855,-2.6695680618286133
1.100000023841858,-6.273820877075195,-2.623157024383545
1.1050000190734863,-6.02122163772583,-2.5874035358428955
1.1100000143051147,-5.685760974884033,-2.535491943359375
1.1150000095367432,-5.4890265464782715,-2.4956133365631104
1.1200000047683716,-5.347721099853516,-2.4691414833068848
1.125,-5.071195125579834,-2.4241058826446533
1.1299999952316284,-4.667640686035156,-2.3495049476623535
1.1349999904632568,-4.5058913230896,-2.300687313079834
1.1399999856948853,-4.711451053619385,-2.319939374923706
1.1449999809265137,-4.9962077140808105,-2.3732259273529053
1.149999976158142,-5.269039154052734,-2.4220433235168457
1.1549999713897705,-5.5406413078308105,-2.471548080444336
1.159999966621399,-5.802639007568359,-2.514521360397339
1.1649999618530273,-6.08998441696167,-2.5588696002960205
1.1699999570846558,-6.273626804351807,-2.59152889251709
1.1749999523162842,-6.463128566741943,-2.6241884231567383
1.1799999475479126,-6.702244281768799,-2.6692240238189697
1.184999942779541,-6.932600498199463,-2.716322898864746
1.190000057220459,-7.198522567749023,-2.761702060699463
1.1950000524520874,-7.469311237335205,-2.805706739425659
1.2000000476837158,-7.696582794189453,-2.847304582595825
1.2050000429153442,-7.872584342956543,-2.8830580711364746
1.2100000381469727,-8.031780242919922,-2.912623643875122
1.215000033378601,-8.199082374572754,-2.9404702186584473
1.2200000286102295,-8.363978385925293,-2.970379114151001
1.225000023841858,-8.502086639404297,-2.9961628913879395
1.2300000190734863,-8.684800148010254,-3.0222907066345215
1.2350000143051147,-8.923041343688965,-3.053575038909912
1.2400000095367432,-9.156648635864258,-3.082109212875366
1.2450000047683716,-9.366049766540527,-3.1116747856140137
1.25,-9.54224681854248,-3.1429591178894043
1.2549999952316284,-9.757702827453613,-3.1793999671936035
1.2599999904632568,-10.026581764221191,-3.2203104496002197
1.2649999856948853,-10.273651123046875,-3.2639710903167725
1.2699999809265137,-10.507814407348633,-3.3007559776306152
1.274999976158142,-10.782666206359863,-3.339947462081909
1.2799999713897705,-11.040277481079102,-3.3825767040252686
1.284999966621399,-11.250829696655273,-3.423830986022949
1.2899999618530273,-11.403910636901855,-3.4554591178894043
1.2949999570846558,-11.538077354431152,-3.4822745323181152
1.2999999523162842,-11.693193435668945,-3.5118396282196045
1.3049999475479126,-11.806187629699707,-3.5379669666290283
1.309999942779541,-11.871015548706055,-3.5596256256103516
1.315000057220459,-11.918747901916504,-3.574408531188965
1.3200000524520874,-11.965392112731934,-3.5888473987579346
1.3250000476837158,-12.043303489685059,-3.604661226272583
1.3300000429153442,-12.119986534118652,-3.621507167816162
1.3350000381469727,-12.186017990112305,-3.6366336345672607
1.340000033378601,-12.272561073303223,-3.651416063308716
1.3450000286102295,-12.37382698059082,-3.6665425300598145
1.350000023841858,-12.468721389770508,-3.6806375980377197
1.3550000190734863,-12.587910652160645,-3.6974833011627197
1.3600000143051147,-12.750051498413086,-3.718454122543335
1.3650000095367432,-12.925050735473633,-3.7397687435150146
1.3700000047683716,-13.03489875793457,-3.7573018074035645
1.375,-13.118565559387207,-3.7734594345092773
1.3799999952316284,-13.196260452270508,-3.7865233421325684
1.3849999904632568,-13.284137725830078,-3.796837091445923
1.3899999856948853,-13.32726764678955,-3.804056406021118
1.3949999809265137,-13.331971168518066,-3.8044004440307617
1.399999976158142,-13.301776885986328,-3.7975246906280518
1.4049999713897705,-13.269336700439453,-3.7882423400878906
1.409999966621399,-13.206353187561035,-3.7789597511291504
1.4149999618530273,-13.113569259643555,-3.76761531829834
1.4199999570846558,-13.02359390258789,-3.7476754188537598
1.4249999523162842,-12.940203666687012,-3.7287676334381104
1.4299999475479126,-12.856590270996094,-3.716735363006592
1.434999942779541,-12.743565559387207,-3.702296018600464
1.440000057220459,-12.601253509521484,-3.685450792312622
1.4450000524520874,-12.464927673339844,-3.663792371749878
1.4500000476837158,-12.348936080932617,-3.644540786743164
1.4550000429153442,-12.251051902770996,-3.628382682800293
1.4600000381469727,-12.163360595703125,-3.615318775177002
1.465000033378601,-12.06363296508789,-3.5977859497070312
1.4700000286102295,-11.946503639221191,-3.577502489089966
1.475000023841858,-11.847378730773926,-3.5610008239746094
1.4800000190734863,-11.715510368347168,-3.540717363357544
1.4850000143051147,-11.5515718460083,-3.51459002494812
1.4900000095367432,-11.379999160766602,-3.4877748489379883
1.4950000047683716,-11.200360298156738,-3.4585530757904053
1.5,-10.99643611907959,-3.4272687435150146
1.5049999952316284,-10.770621299743652,-3.3887648582458496
1.5099999904632568,-10.543659210205078,-3.347510814666748
1.5149999856948853,-10.334321022033691,-3.3107259273529053
1.5199999809265137,-10.111384391784668,-3.271878242492676
1.524999976158142,-9.905680656433105,-3.230623960494995
1.5299999713897705,-9.725581169128418,-3.1914327144622803
1.534999966621399,-9.551966667175293,-3.1601483821868896
1.5399999618530273,-9.355975151062012,-3.1285200119018555
1.5449999570846558,-9.132662773132324,-3.090360164642334
1.5499999523162842,-8.885188102722168,-3.0528876781463623
1.5549999475479126,-8.689419746398926,-3.0274477005004883
1.559999942779541,-8.542081832885742,-3.0085394382476807
1.565000057220459,-8.391931533813477,-2.9817240238189697
1.5700000524520874,-8.213754653930664,-2.9507834911346436
1.5750000476837158,-8.051888465881348,-2.9222495555877686
1.5800000429153442,-7.877333164215088,-2.8926842212677
1.5850000381469727,-7.645998954772949,-2.8607122898101807
1.590000033378601,-7.359881401062012,-2.81567645072937
1.5950000286102295,-7.093907356262207,-2.7665152549743652
1.600000023841858,-6.864783763885498,-2.7245736122131348
1.6050000190734863,-6.581153869628906,-2.6829755306243896
1.6100000143051147,-6.326454162597656,-2.6382834911346436
1.6150000095367432,-6.148367404937744,-2.606999158859253
1.6200000047683716,-5.8527069091796875,-2.5643699169158936
1.625,-5.572375297546387,-2.5090208053588867
1.6299999952316284,-5.413592338562012,-2.476017475128174
1.6349999904632568,-5.195744514465332,-2.444733142852783
1.6399999856948853,-4.81036901473999,-2.3811328411102295
1.6449999809265137,-4.591885566711426,-2.323720932006836
1.649999976158142,-4.761021137237549,-2.3295650482177734
1.6549999713897705,-5.040204048156738,-2.3818204402923584
1.659999966621399,-5.226937770843506,-2.421699285507202
1.6649999618530273,-5.480935096740723,-2.469141721725464
1.6699999570846558,-5.63521671295166,-2.501457452774048
1.6749999523162842,-5.815776348114014,-2.5258662700653076
1.6799999475479126,-6.119737148284912,-2.57399582862854
1.684999942779541,-6.325751781463623,-2.616281509399414
1.690000057220459,-6.52225923538208,-2.647909641265869
1.6950000524520874,-6.832492828369141,-2.6981022357940674
1.7000000476837158,-7.099717140197754,-2.7465758323669434
1.7050000429153442,-7.326868057250977,-2.781641721725464
1.7100000381469727,-7.579056262969971,-2.8211770057678223
1.715000033378601,-7.80661153793335,-2.866556406021118
1.7200000286102295,-8.005209922790527,-2.901278495788574
1.725000023841858,-8.167823791503906,-2.928093910217285
1.7300000190734863,-8.314751625061035,-2.9538776874542236
1.7350000143051147,-8.464688301086426,-2.97794246673584
1.7400000095367432,-8.659770011901855,-3.0054454803466797
1.7450000047683716,-8.856274604797363,-3.0346670150756836
1.75,-9.064065933227539,-3.0614821910858154
1.7549999952316284,-9.285529136657715,-3.0907039642333984
