Time (s),Ax (m/s²),Ay (m/s²),Az (m/s²),Fᵧ (N),rᵧ (m),vᵧ (m/s),aᵧ (m/s²)
0.009999999776482582,0.07112669199705124,-9.372213363647461,-3.042982339859009,-2.439232587814331,0,0,0
0.019999999552965164,0.07004822790622711,-9.36673355102539,-3.047166109085083,-2.439232587814331,0,0,0
0.029999999329447746,0.0712084025144577,-9.367721557617188,-3.0442147254943848,-2.4378576278686523,0,0,0
0.03999999910593033,0.07536546885967255,-9.369242668151855,-3.0447728633880615,-2.4371697902679443,0,0,0
0.05000000074505806,0.07675861567258835,-9.36227035522461,-3.051180839538574,-2.4351072311401367,0,0,0
0.05999999865889549,0.08330375701189041,-9.362839698791504,-3.0560574531555176,-2.4351069927215576,0,0,0
0.07000000029802322,0.08852291107177734,-9.361605644226074,-3.064514398574829,-2.4357945919036865,0,0,0
0.07999999821186066,0.08793482929468155,-9.357537269592285,-3.0721187591552734,-2.4371697902679443,0,0,0
0.09000000357627869,0.08199198544025421,-9.35219955444336,-3.0623600482940674,-2.43992018699646,0,0,0
0.10000000149011612,0.07454963773488998,-9.344829559326172,-3.0606472492218018,-2.4406075477600098,0,0,0
0.10999999940395355,0.07103317975997925,-9.342616081237793,-3.05584716796875,-2.4412951469421387,0,0,0
0.11999999731779099,0.07195578515529633,-9.346874237060547,-3.044421672821045,-2.4433579444885254,0,0,0
0.12999999523162842,0.07444329559803009,-9.34829330444336,-3.041308641433716,-2.4419827461242676,0,0,0
0.14000000059604645,0.0812777429819107,-9.35506820678711,-3.0468192100524902,-2.4419827461242676,0,0,0
0.15000000596046448,0.08529447019100189,-9.364640235900879,-3.0477230548858643,-2.4440455436706543,0,0,0
0.1599999964237213,0.08177543431520462,-9.366175651550293,-3.0575709342956543,-2.4433579444885254,0,0,0
0.17000000178813934,0.07870198041200638,-9.361969947814941,-3.057173490524292,-2.4433579444885254,0,0,0
0.18000000715255737,0.07858099788427353,-9.362223625183105,-3.0381019115448,-2.4433579444885254,0,0,0
0.1899999976158142,0.07205609232187271,-9.362998962402344,-3.0156636238098145,-2.4426703453063965,0,0,0
0.20000000298023224,0.07311128824949265,-9.367499351501465,-2.996469497680664,-2.440607786178589,0,0,0
0.20999999344348907,0.07723391801118851,-9.370189666748047,-2.978186845779419,-2.439232587814331,0,0,0
0.2199999988079071,0.07884620130062103,-9.376229286193848,-2.9765846729278564,-2.4378576278686523,0,0,0
0.23000000417232513,0.08295461535453796,-9.38351821899414,-2.977668285369873,-2.4378573894500732,0,0,0
0.23999999463558197,0.08066728711128235,-9.38800048828125,-2.977252721786499,-2.4378573894500732,0,0,0
0.25,0.07962285727262497,-9.381123542785645,-2.9989748001098633,-2.4364824295043945,0,0,0
0.25999999046325684,0.07318749278783798,-9.375997543334961,-3.0388870239257812,-2.4371700286865234,0,0,0
0.27000001072883606,0.06888490915298462,-9.366193771362305,-3.0741469860076904,-2.4378573894500732,0,0,0
0.2800000011920929,0.06755805760622025,-9.35651683807373,-3.090826988220215,-2.4378573894500732,0,0,0
0.28999999165534973,0.06771045923233032,-9.349194526672363,-3.082183361053467,-2.438544988632202,0,0,0
0.30000001192092896,0.06777331978082657,-9.344982147216797,-3.056631565093994,-2.439232587814331,0,0,0
0.3100000023841858,0.07000253349542618,-9.344982147216797,-3.041354179382324,-2.4378576278686523,0,0,0
0.3199999928474426,0.07446569204330444,-9.349042892456055,-3.033559799194336,-2.439232587814331,0,0,0
0.33000001311302185,0.07723908126354218,-9.353028297424316,-3.0320422649383545,-2.439232349395752,0,0,0
0.3400000035762787,0.08343076705932617,-9.358728408813477,-3.0336568355560303,-2.4378576278686523,0,0,0
0.3499999940395355,0.08451911062002182,-9.3665771484375,-3.033064603805542,-2.438544988632202,0,0,0
0.36000001430511475,0.08400507271289825,-9.369425773620605,-3.0496678352355957,-2.438544988632202,0,0,0
0.3700000047683716,0.07820730656385422,-9.365832328796387,-3.06142258644104,-2.4378573894500732,0,0,0
0.3799999952316284,0.07348927855491638,-9.360008239746094,-3.070408344268799,-2.438544988632202,0,0,0
0.38999998569488525,0.07009121030569077,-9.357060432434082,-3.0560295581817627,-2.439232587814331,0,0,0
0.4000000059604645,0.07115975767374039,-9.35734748840332,-3.0322916507720947,-2.439232587814331,0,0,0
0.4099999964237213,0.07169574499130249,-9.355733871459961,-3.0186641216278076,-2.439232587814331,0,0,0
0.41999998688697815,0.07555317133665085,-9.357303619384766,-3.0178823471069336,-2.439232587814331,0,0,0
0.4300000071525574,0.08123857527971268,-9.362309455871582,-3.023775339126587,-2.439232587814331,0,0,0
0.4399999976158142,0.0834333524107933,-9.365530014038086,-3.0314829349517822,-2.43992018699646,0,0,0
0.44999998807907104,0.08708585053682327,-9.3643798828125,-3.0315370559692383,-2.440607786178589,0,0,0
0.46000000834465027,0.08771440386772156,-9.363775253295898,-3.0338945388793945,-2.4406075477600098,0,0,0
0.4699999988079071,0.08628852665424347,-9.365021705627441,-3.050708770751953,-2.439232587814331,0,0,0
0.47999998927116394,0.08647537976503372,-9.365233421325684,-3.0582706928253174,-2.439232587814331,0,0,0
0.49000000953674316,0.0846637710928917,-9.36112117767334,-3.0607011318206787,-2.4371700286865234,0,0,0
0.5,0.08489108085632324,-9.356768608093262,-3.054743528366089,-2.4351072311401367,0,0,0
0.5099999904632568,0.084870845079422,-9.354904174804688,-3.052590847015381,-2.4357948303222656,0,0,0
0.5199999809265137,0.08433442562818527,-9.356452941894531,-3.0498909950256348,-2.4364821910858154,0,0,0
0.5299999713897705,0.08299809694290161,-9.354852676391602,-3.049910306930542,-2.4364821910858154,0,0,-1.1214374232094483e-15
0.5400000214576721,0.08113611489534378,-9.357081413269043,-3.049730062484741,-2.438544988632202,0,0,-0.050505053251981735
0.550000011920929,0.08122093230485916,-9.359807014465332,-3.0315611362457275,-2.439232587814331,0,0,-0.09090909361839294
0.5600000023841858,0.0827251523733139,-9.362916946411133,-3.019784450531006,-2.439232587814331,0,0,-0.12121212482452393
0.5699999928474426,0.0826089084148407,-9.36337947845459,-3.021068572998047,-2.440607786178589,0,0,-0.14141413569450378
0.5799999833106995,0.0923415943980217,-9.345565795898438,-3.0283288955688477,-2.440607786178589,-3.700743608425998e-18,-3.700743591882386e-16,-0.1515151560306549
0.5899999737739563,0.11129680275917053,-9.223113059997559,-3.0243349075317383,-2.4426703453063965,-0.00011111111962236464,-0.011111111380159855,-0.1515151560306549
0.6000000238418579,0.15113849937915802,-9.022480010986328,-3.0244498252868652,-2.445420742034912,-0.00022222223924472928,-0.011111111380159855,-0.14141413569450378
0.6100000143051147,0.2287846952676773,-8.77078628540039,-3.0325989723205566,-2.447483539581299,-0.00033333332976326346,-0.011111111380159855,-0.07070706784725189
0.6200000047683716,0.3101755380630493,-8.519269943237305,-3.0492300987243652,-2.451608896255493,-0.00044444447848945856,-0.011111111380159855,0.050505056977272034
0.6299999952316284,0.386521577835083,-8.367118835449219,-3.071510076522827,-2.4564218521118164,-0.0005555555690079927,-0.011111111380159855,0.21212121844291687
0.6399999856948853,0.42060038447380066,-8.361013412475586,-3.1087119579315186,-2.459172248840332,-0.0006666667177341878,-0.011111111380159855,0.35353535413742065
0.6499999761581421,0.3714350163936615,-8.45962905883789,-3.111107110977173,-2.463984966278076,-0.0007777778664603829,-0.011111111380159855,0.46464645862579346
0.6600000262260437,0.24634850025177002,-8.621845245361328,-3.1138813495635986,-2.4687979221343994,-0.0007777778664603829,3.700743591882386e-16,0.5858585834503174
0.6700000166893005,0.09085328131914139,-8.826273918151855,-3.1296212673187256,-2.471548080444336,-0.0006666667177341878,0.011111111380159855,0.6565657258033752
0.6800000071525574,-0.06772783398628235,-9.085905075073242,-3.104219913482666,-2.4749860763549805,-0.00044444447848945856,0.02222222276031971,0.6767677068710327
0.6899999976158142,-0.1818254142999649,-9.328418731689453,-3.0650153160095215,-2.479111671447754,-0.00022222221014089882,0.02222222276031971,0.696969747543335
0.699999988079071,-0.19252073764801025,-9.53133773803711,-3.0186727046966553,-2.4811742305755615,0.00011111114145023748,0.03333333507180214,0.6060606241226196
0.7099999785423279,-0.09266936033964157,-9.695016860961914,-2.9616408348083496,-2.485987424850464,0.0005555555690079927,0.04444444552063942,0.4646465480327606
0.7200000286102295,0.17176410555839539,-9.687715530395508,-2.9610953330993652,-2.4935507774353027,0.0009999999310821295,0.04444444552063942,0.38383838534355164
0.7300000190734863,0.36840373277664185,-9.598546028137207,-3.0157763957977295,-2.499738931655884,0.0014444445259869099,0.04444444552063942,0.3636363744735718
0.7400000095367432,0.4238284230232239,-9.4640531539917,-3.0356452465057373,-2.5066144466400146,0.0020000000949949026,0.0555555559694767,0.3030303120613098
