Time (s),Fᵧ (N),rᵧ (m)
0.009999999776482582,-0.9076191186904907,0
0.019999999552965164,-0.907619059085846,0
0.029999999329447746,-0.906863808631897,0
0.03999999910593033,-0.9015752077102661,0
0.05000000074505806,-0.8925089836120605,0
0.05999999865889549,-0.8773983716964722,0
0.07000000029802322,-0.8585074543952942,0
0.07999999821186066,-0.8411204814910889,0
0.09000000357627869,-0.8282714486122131,0
0.10000000149011612,-0.8146681785583496,0
0.10999999940395355,-0.8048344254493713,-0.00011073060159105808
0.11999999731779099,-0.8002952337265015,-0.0002218071313109249
0.12999999523162842,-0.7897282838821411,-0.000332883617375046
0.14000000059604645,-0.7844204306602478,-0.0004439601907506585
0.15000000596046448,-0.7829058170318604,-0.0006656288751401007
0.1599999964237213,-0.7783780097961426,-0.0008877820218913257
0.17000000178813934,-0.7761034369468689,-0.001109934994019568
0.18000000715255737,-0.7753479480743408,-0.001332088140770793
0.1899999976158142,-0.7723290324211121,-0.0015542411711066961
0.20000000298023224,-0.7693061232566833,-0.0016659749671816826
0.20999999344348907,-0.7647761702537537,-0.0017770514823496342
0.2199999988079071,-0.7624992728233337,-0.0019984780810773373
0.23000000417232513,-0.7564736008644104,-0.0022206311114132404
0.23999999463558197,-0.7504168152809143,-0.0023325032088905573
0.25,-0.7466383576393127,-0.0024435799568891525
0.25999999046325684,-0.7413540482521057,-0.0025546562392264605
0.27000001072883606,-0.7368073463439941,-0.0026657329872250557
0.2800000011920929,-0.7375444769859314,-0.0027768095023930073
0.28999999165534973,-0.7360457181930542,-0.002887885784730315
0.30000001192092896,-0.7367880344390869,-0.0029989625327289104
0.3100000023841858,-0.7383068203926086,-0.0030000002589076757
0.3199999928474426,-0.7390628457069397,-0.0030000002589076757
0.33000001311302185,-0.7398110628128052,-0.0030000002589076757
0.3400000035762787,-0.7405665516853333,-0.0030000002589076757
0.3499999940395355,-0.740574300289154,-0.0030000002589076757
0.36000001430511475,-0.7390792965888977,-0.0030000002589076757
0.3700000047683716,-0.7383068203926086,-0.0030000002589076757
0.3799999952316284,-0.7398098707199097,-0.0030000002589076757
0.38999998569488525,-0.7390717267990112,-0.0030000002589076757
0.4000000059604645,-0.7368043065071106,-0.0030000002589076757
0.4099999964237213,-0.7367951273918152,-0.0030000002589076757
0.41999998688697815,-0.734546959400177,-0.0030000002589076757
0.4300000071525574,-0.7315239310264587,-0.0030000002589076757
0.4399999976158142,-0.7300026416778564,-0.0030000002589076757
0.44999998807907104,-0.7292364835739136,-0.003109554760158062
0.46000000834465027,-0.7292364835739136,-0.0032206312753260136
0.4699999988079071,-0.7322272658348083,-0.003331707790493965
0.47999998927116394,-0.738262414932251,-0.0033333336468786
0.49000000953674316,-0.7480536103248596,-0.0032239174470305443
0.5,-0.7593663334846497,-0.0030034594237804413
0.5099999904632568,-0.7797134518623352,-0.002671959577128291
0.5199999809265137,-0.7971310615539551,-0.0022294174414128065
0.5299999713897705,-0.8227292895317078,-0.0015665560495108366
0.5400000214576721,-0.8723732829093933,-0.0006816105451434851
0.550000011920929,-0.9350365400314331,0.00042541854782029986
0.5600000023841858,-1.005256175994873,0.0016453578136861324
0.5699999928474426,-1.079332709312439,0.0029763386119157076
0.5799999833106995,-1.1429352760314941,0.004418361932039261
0.5899999737739563,-1.1869028806686401,0.005971426609903574
0.6000000238418579,-1.2179975509643555,0.007635533344000578
0.6100000143051147,-1.244490385055542,0.009410681203007698
0.6200000047683716,-1.2709561586380005,0.011296872980892658
0.6299999952316284,-1.2958958148956299,0.013403037562966347
0.6399999856948853,-1.3208204507827759,0.015513491816818714
0.6499999761581421,-1.345018982887268,0.017841670662164688
0.6600000262260437,-1.3691869974136353,0.020283106714487076
0.6700000166893005,-1.3956223726272583,0.022726789116859436
0.6800000071525574,-1.42059326171875,0.025279231369495392
0.6899999976158142,-1.4477845430374146,0.02794271521270275
0.699999988079071,-1.4809406995773315,0.030717242509126663
0.7099999785423279,-1.5127140283584595,0.03349415957927704
0.7200000286102295,-1.543682336807251,0.03627106547355652
0.7300000190734863,-1.576179027557373,0.03915656730532646
0.7400000095367432,-1.6116820573806763,0.04215310513973236
0.75,-1.6457077264785767,0.045152172446250916
0.7599999904632568,-1.6827043294906616,0.04836820438504219
0.7699999809265137,-1.7174859046936035,0.051589421927928925
0.7799999713897705,-1.7514756917953491,0.0549190528690815
0.7900000214576721,-1.7870140075683594,0.05835973098874092
0.800000011920929,-1.8232711553573608,0.061803098767995834
0.8100000023841858,-1.8602834939956665,0.06524647772312164
0.8199999928474426,-1.9032851457595825,0.06879811733961105
0.8299999833106995,-1.9419044256210327,0.0723525658249855
0.8399999737739563,-1.981183648109436,0.07590702176094055
0.8500000238418579,-2.020482063293457,0.07935328781604767
0.8600000143051147,-2.062028169631958,0.08290480822324753
0.8700000047683716,-2.1020822525024414,0.08645925670862198
0.8799999952316284,-2.1398890018463135,0.08990563452243805
0.8899999856948853,-2.178452491760254,0.09334899485111237
0.8999999761581421,-2.2207119464874268,0.09690036624670029
0.9100000262260437,-2.261564254760742,0.10045482963323593
0.9200000166893005,-2.3030872344970703,0.10390134155750275
0.9300000071525574,-2.343162775039673,0.10734471678733826
0.9399999976158142,-2.3854622840881348,0.11089594662189484
0.949999988079071,-2.422581434249878,0.1143425703048706
0.9599999785423279,-2.4603464603424072,0.11767815798521042
0.9700000286102295,-2.498889446258545,0.1211182102560997
0.9800000190734863,-2.538165330886841,0.12456157058477402
0.9900000095367432,-2.574486255645752,0.127897247672081
1,-2.610762119293213,0.13122954964637756
1.0099999904632568,-2.6455490589141846,0.13456185162067413
1.0199999809265137,-2.6832892894744873,0.1378941386938095
1.0299999713897705,-2.719564437866211,0.14111889898777008
1.0399999618530273,-2.7573513984680176,0.14434009790420532
