Time (s),Ay (m/s²),Fᵧ (N),rᵧ (m),vᵧ (m/s),aᵧ (m/s²)
0.009999999776482582,-8.318404197692871,-4.7929863929748535,-4.574565650727891e-7,-0.00004587156217894517,-0.5482102632522583
0.019999999552965164,-8.328065872192383,-4.793148994445801,-0.0001673201913945377,-0.01669943332672119,-0.45662084221839905
0.029999999329447746,-8.343999862670898,-4.794155597686768,-0.00028644950361922383,-0.014310288242995739,-0.37812137603759766
0.03999999910593033,-8.373345375061035,-4.793467998504639,-0.00037576243630610406,-0.012519113719463348,-0.3077985346317291
0.05000000074505806,-8.3974609375,-4.793467998504639,-0.0004459693154785782,-0.011141692288219929,-0.2410126030445099
0.05999999865889549,-8.425436019897461,-4.793464183807373,-0.0005573853850364685,-0.011141692288219929,-0.04137811437249184
0.07000000029802322,-8.448346138000488,-4.792093276977539,-0.0006688015419058502,-0.011141692288219929,0.08782394975423813
0.07999999821186066,-8.449463844299316,-4.792097568511963,-0.0007802176405675709,-0.011141692288219929,0.12736748158931732
0.09000000357627869,-8.430502891540527,-4.794166564941406,-0.0008916336810216308,-0.011141692288219929,0.14574646949768066
0.10000000149011612,-8.392489433288574,-4.796224594116211,-0.0010000000474974513,-0.010835882276296616,0.1523503214120865
0.10999999940395355,-8.355363845825195,-4.797593116760254,-0.0010000000474974513,0,0.1520436704158783
0.11999999731779099,-8.330770492553711,-4.797601222991943,-0.0010000000474974513,0,0.1415245682001114
0.12999999523162842,-8.33293628692627,-4.798960208892822,-0.0010000000474974513,0,0.12079304456710815
0.14000000059604645,-8.358015060424805,-4.7968974113464355,-0.0010000000474974513,0,0.08984905481338501
0.15000000596046448,-8.38323974609375,-4.7955217361450195,-0.0010000000474974513,0,0.04869263246655464
0.1599999964237213,-8.394554138183594,-4.795530319213867,-0.0010000000474974513,0,0
0.17000000178813934,-8.392730712890625,-4.794134616851807,-0.0010000000474974513,0,0
0.18000000715255737,-8.385210990905762,-4.792104721069336,-0.0010000000474974513,0,0
0.1899999976158142,-8.372194290161133,-4.793467998504639,-0.0010000000474974513,0,0
0.20000000298023224,-8.364471435546875,-4.793455123901367,-0.0010000000474974513,0,0
0.20999999344348907,-8.36386489868164,-4.792093276977539,-0.0010000000474974513,0,0
0.2199999988079071,-8.367860794067383,-4.792093276977539,-0.0010000000474974513,0,0
0.23000000417232513,-8.3743257522583,-4.791390895843506,-0.0010000000474974513,0,0
0.23999999463558197,-8.376399040222168,-4.790717601776123,-0.0010000000474974513,0,0
0.25,-8.377318382263184,-4.790717601776123,-0.0010000000474974513,0,0
0.25999999046325684,-8.372865676879883,-4.790717601776123,-0.0010000000474974513,0,0
0.27000001072883606,-8.360442161560059,-4.790717601776123,-0.0010000000474974513,0,0
0.2800000011920929,-8.359440803527832,-4.790012359619141,-0.0010000000474974513,0,0
0.28999999165534973,-8.36327838897705,-4.789342403411865,-0.0010000000474974513,0,-0.016168927773833275
0.30000001192092896,-8.474027633666992,-4.788579940795898,-0.0010000000474974513,0,-0.23324140906333923
0.3100000023841858,-9.048433303833008,-4.781643390655518,-0.0010000000474974513,0,-0.6188982129096985
0.3199999928474426,-10.784384727478027,-4.764919281005859,-0.0010000000474974513,0,-1.2283366918563843
0.33000001311302185,-13.456527709960938,-4.738656044006348,-0.0010000000474974513,0,-2.050396680831909
0.3400000035762787,-16.13797378540039,-4.706239223480225,-0.0010414761491119862,-0.004159021656960249,-3.058910369873047
0.3499999940395355,-18.417287826538086,-4.670487880706787,-0.0015298364451155066,-0.04884811490774155,-4.1817121505737305
0.36000001430511475,-19.915109634399414,-4.632013320922852,-0.002487038727849722,-0.09573904424905777,-5.427240371704102
0.3700000047683716,-19.861736297607422,-4.595463752746582,-0.004125851206481457,-0.16390417516231537,-6.698248386383057
0.3799999952316284,-19.4554386138916,-4.55122709274292,-0.006558300461620092,-0.24327217042446136,-7.921288013458252
0.38999998569488525,-18.96807098388672,-4.495977878570557,-0.009884517639875412,-0.33265039324760437,-8.855117797851562
0.4000000059604645,-18.330896377563477,-4.429689884185791,-0.014128901064395905,-0.4244750142097473,-9.477937698364258
0.4099999964237213,-17.670774459838867,-4.35177755355835,-0.019490495324134827,-0.5361977815628052,-9.831804275512695
0.41999998688697815,-17.062889099121094,-4.2622480392456055,-0.02598210982978344,-0.6492049098014832,-9.894195556640625
0.4300000071525574,-16.405790328979492,-4.163776874542236,-0.0336633138358593,-0.7681549191474915,-9.714458465576172
0.4399999976158142,-15.76207160949707,-4.058314323425293,-0.04225170239806175,-0.8588787317276001,-9.386842727661133
0.44999998807907104,-15.158899307250977,-3.9459924697875977,-0.051818132400512695,-0.9566768407821655,-8.879167556762695
0.46000000834465027,-14.50346565246582,-3.827558994293213,-0.06216661259531975,-1.034882664680481,-8.231127738952637
0.4699999988079071,-13.517024040222168,-3.7036495208740234,-0.07328280806541443,-1.1116514205932617,-7.533335208892822
0.47999998927116394,-12.753373146057129,-3.573549270629883,-0.0850839763879776,-1.1801528930664062,-6.805398941040039
0.49000000953674316,-11.981739044189453,-3.437288999557495,-0.09763728082180023,-1.255361795425415,-6.112848281860352
0.5,-11.250055313110352,-3.298994779586792,-0.11074921488761902,-1.3112231492996216,-5.414722442626953
0.5099999904632568,-10.525897979736328,-3.1578209400177,-0.1244041919708252,-1.3655250072479248,-4.678590774536133
0.5199999809265137,-9.640048027038574,-3.0125467777252197,-0.13849018514156342,-1.4086238145828247,-3.9162352085113525
0.5299999713897705,-9.09842300415039,-2.8653039932250977,-0.15289519727230072,-1.4405198097229004,-3.088172197341919
0.5400000214576721,-7.894665718078613,-2.7145888805389404,-0.16754010319709778,-1.4645159244537354,-2.1967999935150146
0.550000011920929,-7.146461486816406,-2.561328411102295,-0.18246984481811523,-1.492986798286438,-1.386086106300354
