Time (s),Fᵧ (N),rᵧ (m)
0.009999999776482582,0.04625748470425606,-0.0004000327317044139
0.019999999552965164,0.046929191797971725,-0.0005000467645004392
0.029999999329447746,0.04572903364896774,-0.0005714811850339174
0.03999999910593033,0.04648427665233612,-0.0006250545266084373
0.05000000074505806,0.0472400076687336,-0.0006668484420515597
0.05999999865889549,0.0472400076687336,-0.0007779959705658257
0.07000000029802322,0.04799574241042137,-0.0008891433826647699
0.07999999821186066,0.0472400039434433,-0.0010000000474974513
0.09000000357627869,0.04724222794175148,-0.0010000000474974513
0.10000000149011612,0.04875172674655914,-0.0010000000474974513
0.10999999940395355,0.04875444620847702,-0.0010000000474974513
0.11999999731779099,0.05026344209909439,-0.0010000000474974513
0.12999999523162842,0.05102238804101944,-0.0010000000474974513
0.14000000059604645,0.05177515745162964,-0.0010000000474974513
0.15000000596046448,0.05177886411547661,-0.0010000000474974513
0.1599999964237213,0.05328686907887459,-0.0010000000474974513
0.17000000178813934,0.05404260382056236,-0.0010000000474974513
0.18000000715255737,0.05328686907887459,-0.0010000000474974513
0.1899999976158142,0.05328686907887459,-0.0010000000474974513
0.20000000298023224,0.0525212436914444,-0.0010000000474974513
0.20999999344348907,0.05025305226445198,-0.0010000000474974513
0.2199999988079071,0.047240011394023895,-0.0010000000474974513
0.23000000417232513,0.04647858813405037,-0.0010000000474974513
0.23999999463558197,0.04496662691235542,-0.0010000000474974513
0.25,0.043460845947265625,-0.0010000000474974513
0.25999999046325684,0.044985171407461166,-0.0010000000474974513
0.27000001072883606,0.04800909757614136,-0.0010000000474974513
0.2800000011920929,0.05026343837380409,-0.0010000000474974513
0.28999999165534973,0.04950053617358208,-0.0010000000474974513
0.30000001192092896,0.04722542315721512,-0.0010000000474974513
0.3100000023841858,0.04419383034110069,-0.0009988732635974884
0.3199999928474426,0.04118523374199867,-0.0008877259097062051
0.33000001311302185,0.0412173829972744,-0.0007753790123388171
0.3400000035762787,0.04423339664936066,-0.000553084013517946
0.3499999940395355,0.04648427292704582,-0.0003307890729047358
0.36000001430511475,0.04723110795021057,-0.00010849414684344083
0.3700000047683716,0.0464748777449131,0.00011514559446368366
0.3799999952316284,0.0442165806889534,0.0004485879617277533
0.38999998569488525,0.04269546642899513,0.0007834478165023029
0.4000000059604645,0.041163720190525055,0.0012265838449820876
0.4099999964237213,0.038159579038619995,0.0015615164302289486
0.41999998688697815,0.03664761781692505,0.002006106311455369
0.4300000071525574,0.0359126552939415,0.002452258951961994
0.4399999976158142,0.03590226545929909,0.003009595675393939
0.44999998807907104,0.036646876484155655,0.0036797511857002974
0.46000000834465027,0.034379176795482635,0.00456725899130106
0.4699999988079071,0.03285559266805649,0.005348707549273968
0.47999998927116394,0.02981979213654995,0.00635077990591526
0.49000000953674316,0.02603963576257229,0.007464035414159298
0.5,0.011345354840159416,0.00868847407400608
0.5099999904632568,-0.02765236236155033,0.010024097748100758
0.5199999809265137,-0.03285495936870575,0.01147090457379818
0.5299999713897705,-0.048990968614816666,0.013028895482420921
0.5400000214576721,-0.1603965014219284,0.014696107245981693
0.550000011920929,-0.21662622690200806,0.016369318589568138
0.5600000023841858,-0.33880048990249634,0.018369972705841064
0.5699999928474426,-0.46541064977645874,0.020370623096823692
0.5799999833106995,-0.42774516344070435,0.022373385727405548
0.5899999737739563,-0.5427790284156799,0.024487333372235298
0.6000000238418579,-0.760067880153656,0.026710281148552895
0.6100000143051147,-1.0127100944519043,0.028935447335243225
0.6200000047683716,-1.3704744577407837,0.03126954659819603
0.6299999952316284,-1.7261353731155396,0.03360592946410179
0.6399999856948853,-1.8742603063583374,0.036051176488399506
0.6499999761581421,-1.9426735639572144,0.03849641978740692
0.6600000262260437,-1.984286904335022,0.04094406217336655
0.6700000166893005,-2.0335586071014404,0.04350288584828377
0.6800000071525574,-2.104886770248413,0.04616796225309372
0.6899999976158142,-2.1995184421539307,0.04872686043381691
0.699999988079071,-2.293948173522949,0.051394399255514145
0.7099999785423279,-2.3816611766815186,0.054064519703388214
0.7200000286102295,-2.4752068519592285,0.05684319883584976
0.7300000190734863,-2.552208423614502,0.05962188169360161
0.7400000095367432,-2.623342990875244,0.06240326166152954
0.75,-2.6913833618164062,0.06529310345649719
0.7599999904632568,-2.762408971786499,0.06818293035030365
0.7699999809265137,-2.835833787918091,0.07107556611299515
0.7799999713897705,-2.921431064605713,0.07407654821872711
0.7900000214576721,-3.0191071033477783,0.07708039879798889
0.800000011920929,-3.11806321144104,0.08019543439149857
0.8100000023841858,-3.216460943222046,0.08341871201992035
0.8199999928474426,-3.3229129314422607,0.0866449624300003
0.8299999833106995,-3.416532516479492,0.08998241275548935
0.8399999737739563,-3.5049612522125244,0.09342797845602036
0.8500000238418579,-3.5918567180633545,0.09687664359807968
0.8600000143051147,-3.6781864166259766,0.1004364863038063
0.8700000047683716,-3.76747989654541,0.10410751402378082
0.8799999952316284,-3.8696892261505127,0.10788653045892715
0.8899999856948853,-3.9801061153411865,0.11166554689407349
0.8999999761581421,-4.0995049476623535,0.11544784158468246
0.9100000262260437,-4.213126182556152,0.11934129893779755
0.9200000166893005,-4.331544876098633,0.1233426108956337
0.9300000071525574,-4.442788124084473,0.12734729051589966
0.9399999976158142,-4.553662300109863,0.1314631551504135
0.949999988079071,-4.651184558868408,0.1356867551803589
0.9599999785423279,-4.747361183166504,0.13991035521030426
0.9700000286102295,-4.856054306030273,0.14413397014141083
0.9800000190734863,-4.965982913970947,0.14836114645004272
0.9900000095367432,-5.087134838104248,0.15269587934017181
1,-5.212530136108398,0.157027006149292
1.0099999904632568,-5.3280487060546875,0.16125062108039856
1.0199999809265137,-5.438699245452881,0.16547051072120667
1.0299999713897705,-5.5294671058654785,0.16957922279834747
1.0399999618530273,-5.618570327758789,0.17358052730560303
1.0499999523162842,-5.70654821395874,0.1775818169116974
1.059999942779541,-5.805712699890137,0.18158315122127533
1.0700000524520874,-5.914003372192383,0.1855766624212265
1.0800000429153442,-6.031234264373779,0.18935175240039825
1.090000033378601,-6.154242515563965,0.19301964342594147
1.100000023841858,-6.264561176300049,0.19668349623680115
