Time (s),Ax (m/s²),Ay (m/s²),Az (m/s²),Fᵧ (N)
0.004999999888241291,0.06547944247722626,-9.798051834106445,-0.035601068288087845,-3.577846050262451
0.009999999776482582,0.08273341506719589,-9.75501823425293,-0.04141303151845932,-3.5788779258728027
0.014999999664723873,0.08238864690065384,-9.688617706298828,-0.04268055036664009,-3.578533411026001
0.019999999552965164,0.059445519000291824,-9.643255233764648,-0.03209603950381279,-3.578190565109253
0.02500000037252903,0.04428819939494133,-9.617398262023926,-0.0060224938206374645,-3.5795648097991943
0.029999999329447746,0.0360325463116169,-9.595511436462402,0.031482771039009094,-3.5799083709716797
0.03500000014901161,0.02154489979147911,-9.587201118469238,0.05140694975852966,-3.5802533626556396
0.03999999910593033,0.009566468186676502,-9.58621883392334,0.050542596727609634,-3.57887864112854
0.04500000178813934,-0.00016249349573627114,-9.597137451171875,0.05637701228260994,-3.577846050262451
0.05000000074505806,-0.012340842746198177,-9.625874519348145,0.04875175654888153,-3.5768158435821533
0.054999999701976776,-0.01726922206580639,-9.667024612426758,0.022169524803757668,-3.577157497406006
0.05999999865889549,-0.008273114450275898,-9.715121269226074,-0.020463278517127037,-3.5785326957702637
0.06499999761581421,0.005495558492839336,-9.759079933166504,-0.045810848474502563,-3.5785369873046875
0.07000000029802322,0.016796285286545753,-9.803126335144043,-0.04839444160461426,-3.5754411220550537
0.07500000298023224,0.03650786355137825,-9.84238052368164,-0.04917692765593529,-3.5750958919525146
0.07999999821186066,0.050851717591285706,-9.870049476623535,-0.05114184692502022,-3.577155113220215
0.08500000089406967,0.05281024053692818,-9.891140937805176,-0.039067357778549194,-3.577846050262451
0.09000000357627869,0.055370625108480453,-9.88785171508789,-0.012582436203956604,-3.577846050262451
0.0949999988079071,0.06432616710662842,-9.876129150390625,-0.015567850321531296,-3.577846050262451
0.10000000149011612,0.06987754255533218,-9.859515190124512,-0.029698854312300682,-3.5785317420959473
0.10499999672174454,0.05897630751132965,-9.831196784973145,-0.04224355146288872,-3.579906463623047
0.10999999940395355,0.06488297134637833,-9.79117488861084,-0.05615958571434021,-3.5802550315856934
0.11500000208616257,0.08936092257499695,-9.74471664428711,-0.058471422642469406,-3.5802526473999023
0.11999999731779099,0.10249077528715134,-9.702045440673828,-0.05156375467777252,-3.5795652866363525
0.125,0.11594217270612717,-9.670198440551758,-0.05486109107732773,-3.578192710876465
0.12999999523162842,0.13127517700195312,-9.649133682250977,-0.06774600595235825,-3.577505588531494
0.13500000536441803,0.14494867622852325,-9.644037246704102,-0.0729377418756485,-3.579900026321411
0.14000000059604645,0.15735891461372375,-9.634295463562012,-0.07536956667900085,-3.582653045654297
0.14499999582767487,0.18075916171073914,-9.643960952758789,-0.0683557540178299,-3.5843751430511475
0.15000000596046448,0.19776786863803864,-9.663471221923828,-0.04906953126192093,-3.5843820571899414
0.1550000011920929,0.1979418694972992,-9.68740177154541,-0.052242957055568695,-3.5840344429016113
0.1599999964237213,0.19522559642791748,-9.714097023010254,-0.0649973526597023,-3.5812911987304688
0.16500000655651093,0.19743353128433228,-9.739554405212402,-0.0660921186208725,-3.581284284591675
0.17000000178813934,0.20306497812271118,-9.76833438873291,-0.043988585472106934,-3.5816242694854736
0.17499999701976776,0.1941053867340088,-9.801774024963379,-0.022872786968946457,-3.5826594829559326
0.18000000715255737,0.17246372997760773,-9.82211685180664,0.002316057216376066,-3.5843703746795654
0.1850000023841858,0.1489335596561432,-9.84123706817627,0.04062451794743538,-3.5850658416748047
0.1899999976158142,0.1269831359386444,-9.857926368713379,0.07311543822288513,-3.5843827724456787
0.19499999284744263,0.11110498756170273,-9.854325294494629,0.09508711099624634,-3.5854053497314453
0.20000000298023224,0.0805494412779808,-9.851680755615234,0.11047150939702988,-3.586780309677124
0.20499999821186066,0.04732302576303482,-9.85700798034668,0.13328443467617035,-3.5871286392211914
0.20999999344348907,0.0310694370418787,-9.847831726074219,0.12492445111274719,-3.587467670440674
0.2150000035762787,0.03565357252955437,-9.831033706665039,0.10206753015518188,-3.5888428688049316
0.2199999988079071,0.04408157244324684,-9.828417778015137,0.07486841827630997,-3.5902175903320312
0.22499999403953552,0.05760904774069786,-9.838029861450195,0.054775431752204895,-3.5891964435577393
0.23000000417232513,0.08592609316110611,-9.850528717041016,0.03956921026110649,-3.5888476371765137
0.23499999940395355,0.09951110184192657,-9.85550594329834,0.03262288495898247,-3.5908994674682617
0.23999999463558197,0.10825567692518234,-9.86328411102295,0.021611295640468597,-3.5922799110412598
0.24500000476837158,0.12819625437259674,-9.87862491607666,0.010013886727392673,-3.591947078704834
0.25,0.156133770942688,-9.897497177124023,0.022138189524412155,-3.5912599563598633
0.2549999952316284,0.17835378646850586,-9.909854888916016,0.050714269280433655,-3.5902225971221924
0.25999999046325684,0.1885988861322403,-9.910300254821777,0.07294260710477829,-3.5902225971221924
0.26499998569488525,0.19602888822555542,-9.919783592224121,0.09511630237102509,-3.5891973972320557
0.27000001072883606,0.20993474125862122,-9.932772636413574,0.10616520792245865,-3.5888476371765137
0.2750000059604645,0.21318946778774261,-9.949039459228516,0.11065426468849182,-3.5898663997650146
0.2800000011920929,0.21324743330478668,-9.985638618469238,0.11269363760948181,-3.5929665565490723
0.2849999964237213,0.20754359662532806,-10.019477844238281,0.12034443020820618,-3.592972993850708
0.28999999165534973,0.1957673877477646,-10.039852142333984,0.10980133712291718,-3.5905797481536865
0.29499998688697815,0.18742838501930237,-10.03813648223877,0.05078551173210144,-3.5902228355407715
